FIPS,COUNTY_NAME,STATE_NAME,STATE_ABBR,AIRQUALTY_MEAN
56037,"Sweetwater County",Wyoming,WY,5.38969504764
53035,"Kitsap County",Washington,WA,5.38947490283
31111,"Lincoln County",Nebraska,NE,5.38831708648
26131,"Ontonagon County",Michigan,MI,5.38714077075
41053,"Polk County",Oregon,OR,5.37359373386
56017,"Hot Springs County",Wyoming,WY,5.37239693894
56031,"Platte County",Wyoming,WY,5.37009894053
23007,"Franklin County",Maine,ME,5.36870257329
31165,"Sioux County",Nebraska,NE,5.36725393931
33011,"Hillsborough County","New Hampshire",NH,5.3666484091
35037,"Quay County","New Mexico",NM,5.36372746243
56043,"Washakie County",Wyoming,WY,5.35614261074
35059,"Union County","New Mexico",NM,5.34979644514
35023,"Hidalgo County","New Mexico",NM,5.34505595253
37011,"Avery County","North Carolina",NC,5.3442089217
56013,"Fremont County",Wyoming,WY,5.34306931264
41057,"Tillamook County",Oregon,OR,5.34223299026
46047,"Fall River County","South Dakota",SD,5.33376297517
50025,"Windham County",Vermont,VT,5.32497639656
50003,"Bennington County",Vermont,VT,5.32293073698
49001,"Beaver County",Utah,UT,5.3070086184
50023,"Washington County",Vermont,VT,5.26820553433
46121,"Todd County","South Dakota",SD,5.26651109349
36031,"Essex County","New York",NY,5.25578109045
35021,"Harding County","New Mexico",NM,5.25056276321
08055,"Huerfano County",Colorado,CO,5.25028245345
04003,"Cochise County",Arizona,AZ,5.24436239799
50011,"Franklin County",Vermont,VT,5.2420706749
41051,"Multnomah County",Oregon,OR,5.2302664121
23017,"Oxford County",Maine,ME,5.21867879441
36019,"Clinton County","New York",NY,5.21814223882
27137,"St. Louis County",Minnesota,MN,5.20144609594
08027,"Custer County",Colorado,CO,5.19078888064
30019,"Daniels County",Montana,MT,5.1865829019
41003,"Benton County",Oregon,OR,5.18616288049
23013,"Knox County",Maine,ME,5.17535187981
26061,"Houghton County",Michigan,MI,5.17077650168
41041,"Lincoln County",Oregon,OR,5.15977452142
